source_id,source_type,title,url,published_at,accessed_at,authority_level,client_sync_status,notes
SRC-0011,deadlock_wiki_data,Data:Convars.json,https://deadlock.wiki/Data:Convars.json,2026-08-10T20:17:55Z,2026-09-02T09:17:55Z,primary_structured_wiki,pre_patch_snapshot_cross_checked_with_pages,Strukturierte globale Konfiguration. Wiki-Revision 107277.
SRC-0012,deadlock_wiki_data,Data:MiscData.json,https://deadlock.wiki/Data:MiscData.json,2026-07-09T19:46:53Z,2026-09-02T09:17:55Z,primary_structured_wiki,pre_patch_snapshot_cross_checked_with_pages,Strukturierte Rejuvenator-Daten. Wiki-Revision 89386.
SRC-0013,deadlock_wiki_page,Lane Guardian,https://deadlock.wiki/Lane_Guardian,2026-08-29T00:44:17Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Lane-Guardian-Regeln. Wiki-Revision 123832.
SRC-0014,deadlock_wiki_page,Base Guardian,https://deadlock.wiki/Base_Guardian,2026-08-29T00:47:26Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Base-Guardian-Regeln. Wiki-Revision 123836.
SRC-0015,deadlock_wiki_page,Walker,https://deadlock.wiki/Walker,2026-08-31T20:24:02Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Walker-Regeln. Wiki-Revision 124899.
SRC-0016,deadlock_wiki_page,Shrine,https://deadlock.wiki/Shrine,2026-08-29T02:06:08Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Shrine-Regeln. Wiki-Revision 123837.
SRC-0017,deadlock_wiki_page,Patron,https://deadlock.wiki/Patron,2026-08-17T17:50:48Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Patron-Regeln. Wiki-Revision 110036.
SRC-0018,deadlock_wiki_page,Mid-Boss,https://deadlock.wiki/Mid-Boss,2026-08-10T18:58:20Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Mid-Boss-Regeln. Wiki-Revision 107274.
SRC-0019,deadlock_wiki_page,Backdoor Protection,https://deadlock.wiki/Backdoor_Protection,2026-06-09T23:07:35Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Backdoor-Protection-Regeln. Wiki-Revision 78476.
SRC-0020,deadlock_wiki_page,Mechanics,https://deadlock.wiki/Mechanics,2026-08-19T09:21:50Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Globale Mechanikübersicht. Wiki-Revision 110139.
SRC-0021,deadlock_wiki_page,Weapon Damage,https://deadlock.wiki/Weapon_Damage,2026-09-01T22:45:50Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Weapon-Damage-Berechnung. Wiki-Revision 125747.
SRC-0022,deadlock_wiki_page,Spirit Damage,https://deadlock.wiki/Spirit_Damage,2026-09-01T16:49:05Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Spirit-Damage-Regeln. Wiki-Revision 125734.
SRC-0023,deadlock_wiki_page,Melee Attack,https://deadlock.wiki/Melee_Attack,2026-08-26T18:31:57Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Melee-Regeln. Wiki-Revision 114941.
SRC-0024,deadlock_wiki_page,Damage Resistance,https://deadlock.wiki/Damage_Resistance,2026-09-01T19:05:24Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Resistenzberechnung. Wiki-Revision 125735.
SRC-0025,deadlock_wiki_page,Lifesteal,https://deadlock.wiki/Lifesteal,2026-07-09T06:34:12Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Lifesteal-Regeln. Wiki-Revision 89223.
SRC-0026,deadlock_wiki_page,Healing,https://deadlock.wiki/Healing,2026-07-19T12:46:28Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Heilungsregeln. Wiki-Revision 96635.
SRC-0027,deadlock_wiki_page,Ability Cooldown,https://deadlock.wiki/Ability_Cooldown,2026-08-20T16:01:13Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Ability-/Item-Cooldown. Wiki-Revision 110388.
SRC-0028,deadlock_wiki_page,Charge-Up,https://deadlock.wiki/Charge-Up,2026-04-07T21:40:49Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Charge-up-Regeln. Wiki-Revision 64036.
SRC-0029,deadlock_wiki_page,Charges,https://deadlock.wiki/Charges,2026-07-19T16:51:19Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Ability-Charge-Regeln. Wiki-Revision 97272.
SRC-0030,deadlock_wiki_page,Ability Duration,https://deadlock.wiki/Ability_Duration,2025-09-16T03:46:17Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Ability-Duration-Regeln. Wiki-Revision 37132.
SRC-0031,deadlock_wiki_page,Ability Range,https://deadlock.wiki/Ability_Range,2026-08-16T21:11:02Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Ability-Range-Berechnung. Wiki-Revision 108976.
SRC-0032,deadlock_wiki_page,Movement,https://deadlock.wiki/Movement,2026-06-12T05:15:19Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Bewegungsregeln. Wiki-Revision 78724.
SRC-0033,deadlock_wiki_page,Stamina,https://deadlock.wiki/Stamina,2026-08-09T04:38:11Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Stamina-Regeln. Wiki-Revision 106247.
SRC-0034,deadlock_wiki_page,Fire Rate,https://deadlock.wiki/Fire_Rate,2026-08-20T16:05:27Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Fire-Rate-Berechnung. Wiki-Revision 110395.
SRC-0035,deadlock_wiki_page,Ammo,https://deadlock.wiki/Ammo,2026-08-20T16:04:57Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Ammo-Berechnung. Wiki-Revision 110394.
SRC-0036,deadlock_wiki_page,Reload Time,https://deadlock.wiki/Reload_Time,2026-07-05T20:42:17Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Reload-Regeln. Wiki-Revision 88761.
SRC-0037,deadlock_wiki_page,Status Effects,https://deadlock.wiki/Status_Effects,2026-08-23T09:59:07Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Buff-/Debuff-Regeln. Wiki-Revision 114074.
SRC-0038,deadlock_wiki_page,Stack,https://deadlock.wiki/Stack,2026-05-23T15:28:00Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Stacking-Regeln. Wiki-Revision 73045.
SRC-0039,deadlock_wiki_page,Build-Up,https://deadlock.wiki/Build-Up,2026-05-27T05:06:39Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Build-up-/Proc-Regeln. Wiki-Revision 73890.
SRC-0040,deadlock_wiki_page,Damage Amplification,https://deadlock.wiki/Damage_Amplification,2026-08-24T15:37:26Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch_with_tested_exception,Damage-Amp-Regeln. Wiki-Revision 114181.
SRC-0041,deadlock_wiki_page,Pure Damage,https://deadlock.wiki/Pure_Damage,2026-08-09T19:11:13Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Pure-Damage-Regeln. Wiki-Revision 106367.
SRC-0042,deadlock_wiki_page,Unit,https://deadlock.wiki/Unit,2026-08-29T00:29:12Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Nicht-Hero-Einheiten. Wiki-Revision 123828.
