from_item_id,to_item_id,from_cost,to_total_cost,additional_cost,cross_category,temporary_slot_requirement,confidence,source_ids,notes
upgrade_rapid_rounds,upgrade_burst_fire,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_chain_lightning,upgrade_capacitor,3200,6400,3200,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_sprint_booster,upgrade_cardio_calibrator,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health,upgrade_chonky,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_close_range,upgrade_close_quarter_combat,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health,upgrade_colossus,800,6400,5600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_tempo,upgrade_cooldown_reduction,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_melee_charge,upgrade_crushing_fists,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health_stealing_magic,upgrade_damage_recycler,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ziel hat mehrere Komponenten; additional_cost gilt nur bei Besitz dieser einen Komponente. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_vampire,upgrade_damage_recycler,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ziel hat mehrere Komponenten; additional_cost gilt nur bei Besitz dieser einen Komponente. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_guardian_ward,upgrade_divine_barrier,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_vulnerability,upgrade_escalating_exposure,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_quick_silver,upgrade_ethereal_bullets,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_high_velocity_mag,upgrade_express_shot,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_spirit_sap,upgrade_focus_lens,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_vampire,upgrade_fury_trance,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_withering_whip,upgrade_greater_withering_whip,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_grit,upgrade_guardian_ward,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_headshot_booster,upgrade_headhunter,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_healing_booster,upgrade_healbuff,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_endurance,upgrade_healing_booster,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health_stimpak,upgrade_health_nova,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_arcane_extension,upgrade_imbued_duration_extender,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health_stealing_magic,upgrade_infuser,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_cardio_calibrator,upgrade_juggernaut,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_improved_stamina,upgrade_kinetic_sash,800,1600,800,true,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_burst,upgrade_magic_shock,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_improved_spirit,upgrade_magic_storm,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_non_player_bonus,upgrade_non_player_bonus_sacrifice,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_high_velocity_mag,upgrade_pristine_emblem,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_extra_charge,upgrade_rapid_recharge,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_clip_size,upgrade_reinforcing_casings,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health_stimpak,upgrade_rescue_beam,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_mystic_regeneration,upgrade_resonant_healing,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_high_velocity_mag,upgrade_sharpshooter,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ziel hat mehrere Komponenten; additional_cost gilt nur bei Besitz dieser einen Komponente. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_long_range,upgrade_sharpshooter,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ziel hat mehrere Komponenten; additional_cost gilt nur bei Besitz dieser einen Komponente. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_improved_spirit,upgrade_soaring_spirit,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_debuff_reducer,upgrade_spellbreaker,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_tech_defense_shredders,upgrade_spellslinger_headshots,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_grit,upgrade_spirit_bubble,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_acolytes_glove,upgrade_spirit_snatch,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_improved_stamina,upgrade_superior_stamina,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_vampire,upgrade_surging_power,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_health_stealing_magic,upgrade_tech_overflow,1600,6400,4800,true,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_reach,upgrade_tech_range,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_clip_size,upgrade_titan_round,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_cooldown_reduction,upgrade_transcendent_cooldown,3200,6400,3200,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_sprint_booster,upgrade_trophy_collector,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_magic_slow,upgrade_ultimate_burst,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_debuff_reducer,upgrade_unstoppable,1600,6400,4800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_sprint_booster,upgrade_veil_walker,800,3200,2400,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_grit,upgrade_vex_barrier,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_grit,upgrade_weapon_shielding,800,1600,800,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
upgrade_slowing_bullets,upgrade_weighted_shots,1600,3200,1600,false,,medium,"[""SRC-0004"",""SRC-0006"",""SRC-0007""]",Kante und Einzelkomponentenrabatt sind verifiziert. Ein vorübergehender zusätzlicher Slotbedarf ist nicht dokumentiert (UNC-0004).
