summon_id,effect_id,effect_type,mechanic,value,unit,scaling_attribute,scaling_coefficient,condition,trigger,target_scope,objective_behavior,stacking,max_stacks,duration,cooldown,confidence,source_ids,notes
graves_borrowed_decree_summon,summon_initial_delay,summon,summon_initial_delay,0.3,seconds,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_initial_delay ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_lifetime,summon,summon_lifetime,20,seconds,duration,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_lifetime ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_max_count,summon,summon_max_count,32,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_max_count ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_melee_damage,summon,summon_melee_damage,40,damage,spirit,0.5,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_melee_damage ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,summon_search_radius,summon,summon_search_radius,4,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::summon_search_radius ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier,summon,zombie_summon_modifier,Summonzombiesarea,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_summon_modifier,summon,zombie_summon_modifier_summon_modifier,SummonBuffs,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_summon_modifier ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_summon_decay_modifier,summon,zombie_summon_modifier_summon_decay_modifier,SummonDecay,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_summon_decay_modifier ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_forward_walk_distance,summon,zombie_summon_modifier_forward_walk_distance,0,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_forward_walk_distance ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier,summon,zombie_summon_modifier_spawning_in_modifier,Spawningin,identifier,,,base ability state,,ability-defined,,,,,,medium,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_1,summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_1,Immobilized,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_1 ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_2,summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_2,CommandRestricted,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_2 ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_3,summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_3,UnitStatusHealthHidden,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_3 ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_4,summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_4,UnitStatusHidden,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_4 ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_5,summon,zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_5,DoNotDrawModel,identifier,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_modifier_enabled_state_mask_5 ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_spawning_in_time,summon,zombie_summon_modifier_spawning_in_time,0.1,seconds,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_spawning_in_time ohne zusätzliche Verhaltensannahmen.
graves_borrowed_decree_summon,zombie_summon_modifier_zombie_spawn_forward_offset,summon,zombie_summon_modifier_zombie_spawn_forward_offset,100,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus graves_borrowed_decree::zombie_summon_modifier_zombie_spawn_forward_offset ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_attack_delay,summon,turret_attack_delay,0.2,seconds,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_attack_delay ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_attack_falloff_end,summon,turret_attack_falloff_end,30,flat,range,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_attack_falloff_end ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_attack_falloff_start,summon,turret_attack_falloff_start,20,flat,range,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_attack_falloff_start ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_attack_range,summon,turret_attack_range,30,meters,range,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_attack_range ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_base_health,summon,turret_base_health,100,health,power_increase,9,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_base_health ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_dps,summon,turret_dps,24,damage_per_second,spirit,0.42,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_dps ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_deploy_time,summon,turret_deploy_time,0.25,seconds,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_deploy_time ohne zusätzliche Verhaltensannahmen.
mcginnis_mini_turret_turret,turret_lifetime,summon,turret_lifetime,35,seconds,duration,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus mcginnis_mini_turret::turret_lifetime ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_bonus_per_wave,summon,knight_bonus_per_wave,-99,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_bonus_per_wave ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_charge_height,summon,knight_charge_height,3.5,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_charge_height ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_charge_width,summon,knight_charge_width,1.7,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_charge_width ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_count,summon,knight_count,5,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_count ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_count_in_first_wave,summon,knight_count_in_first_wave,5,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_count_in_first_wave ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_jump_speed,summon,knight_jump_speed,900,units_per_second,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_jump_speed ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_max_fall_height,summon,knight_max_fall_height,-35,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_max_fall_height ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_max_jump_height,summon,knight_max_jump_height,30,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_max_jump_height ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_nav_forward_distance,summon,knight_nav_forward_distance,8,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_nav_forward_distance ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_nav_search_distance,summon,knight_nav_search_distance,10,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_nav_search_distance ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_position_spread,summon,knight_position_spread,1.8,flat,range,1,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_position_spread ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_position_stagger,summon,knight_position_stagger,-4,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_position_stagger ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_whisker_length,summon,knight_whisker_length,300,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_whisker_length ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_whisker_side,summon,knight_whisker_side,50,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_whisker_side ohne zusätzliche Verhaltensannahmen.
paige_rallying_charge_knight,knight_whisker_strength,summon,knight_whisker_strength,0.2,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus paige_rallying_charge::knight_whisker_strength ohne zusätzliche Verhaltensannahmen.
rem_lil_helpers_helper,helper_chore_cooldown_duration,summon,helper_chore_cooldown_duration,5,seconds,cooldown,1,base ability state,,ability-defined,,,,5,5,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus rem_lil_helpers::helper_chore_cooldown_duration ohne zusätzliche Verhaltensannahmen.
rem_lil_helpers_helper,helper_count,summon,helper_count,1,count,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus rem_lil_helpers::helper_count ohne zusätzliche Verhaltensannahmen.
rem_lil_helpers_helper,helper_downtime_duration,summon,helper_downtime_duration,15.1,seconds,cooldown,1,base ability state,,ability-defined,,,,15.1,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus rem_lil_helpers::helper_downtime_duration ohne zusätzliche Verhaltensannahmen.
rem_lil_helpers_helper,helpers_per_patrol,summon,helpers_per_patrol,4,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus rem_lil_helpers::helpers_per_patrol ohne zusätzliche Verhaltensannahmen.
sinclair_spectral_assistant_turret,turret_bullet_target_angle,summon,turret_bullet_target_angle,20,degrees,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus sinclair_spectral_assistant::turret_bullet_target_angle ohne zusätzliche Verhaltensannahmen.
sinclair_spectral_assistant_turret,turret_bullet_target_radius,summon,turret_bullet_target_radius,500,meters,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus sinclair_spectral_assistant::turret_bullet_target_radius ohne zusätzliche Verhaltensannahmen.
sinclair_spectral_assistant_turret,turret_bullet_vertical_offset,summon,turret_bullet_vertical_offset,2,flat,,,base ability state,,ability-defined,,,,,,high,"[""HSRC-0004"",""HSRC-0008""]",Abgeleitet aus sinclair_spectral_assistant::turret_bullet_vertical_offset ohne zusätzliche Verhaltensannahmen.
