ability_id,hero_id,name,ability_slot,ability_type,is_innate,is_passive,is_active,max_upgrade_level,base_cooldown,base_charge_count,charge_restore_time,cast_type,targeting_type,verified_patch,verified_date,confidence,source_ids,notes
celeste_innate,celeste,Innate,innate,innate,true,true,false,0,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0015"",""HSRC-0003""]",Expliziter Innate-Abschnitt der aktuellen Heldenseite; numerische HeroData-Felder werden direkt referenziert.
drifter_rend,drifter,Rend,1,active,false,false,true,3,16,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel drifter_blood_blast.
drifter_stalker_s_mark,drifter,Stalker's Mark,2,active,false,false,true,3,26,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel drifter_shadow_mark.
drifter_bloodscent,drifter,Bloodscent,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_drifter_hunger.
drifter_eternal_night,drifter,Eternal Night,4,active,false,false,true,3,145,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel drifter_darkness.
dynamo_kinetic_pulse,dynamo,Kinetic Pulse,1,charged,false,false,true,3,26,1,5,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_stomp.
dynamo_quantum_entanglement,dynamo,Quantum Entanglement,2,active,false,false,true,3,20,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_void_sphere.
dynamo_rejuvenating_aurora,dynamo,Rejuvenating Aurora,3,channeled,false,false,true,3,48,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_nikuman.
dynamo_singularity,dynamo,Singularity,4,channeled,false,false,true,3,250,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_self_vacuum.
graves_jar_of_dead,graves,Jar of Dead,1,charged,false,false,true,3,,4,13,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_necro_hauntingskull.
graves_grasping_hands,graves,Grasping Hands,2,summon,false,false,true,3,34,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_necro_zombiewall.
graves_essence_theft,graves,Essence Theft,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_necro_fear.
graves_borrowed_decree,graves,Borrowed Decree,4,channeled,false,false,true,3,140,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_necro_gravestone.
grey_talon_charged_shot,grey_talon,Charged Shot,1,channeled,false,false,true,3,17,1,4,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_charged_shot.
grey_talon_rain_of_arrows,grey_talon,Rain of Arrows,2,active,false,false,true,3,25,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_power_jump.
grey_talon_spirit_snare,grey_talon,Spirit Snare,3,active,false,false,true,3,34,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_immobilize_trap.
grey_talon_guided_owl,grey_talon,Guided Owl,4,channeled,false,false,true,3,125,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_guided_arrow.
haze_sleep_dagger,haze,Sleep Dagger,1,active,false,false,true,3,30,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_sleep_dagger.
haze_smoke_bomb,haze,Smoke Bomb,2,active,false,false,true,3,33,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_smoke_bomb.
haze_fixation,haze,Fixation,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_stacking_damage.
haze_bullet_dance,haze,Bullet Dance,4,active,false,false,true,3,165,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bullet_flurry.
holliday_powder_keg,holliday,Powder Keg,1,charged,false,false,true,3,28,2,7.5,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_explosive_barrel.
holliday_bounce_pad,holliday,Bounce Pad,2,charged,false,false,true,3,41,1,3.5,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bounce_pad.
holliday_crackshot,holliday,Crackshot,3,active,false,false,true,3,20,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_crackshot.
holliday_spirit_lasso,holliday,Spirit Lasso,4,active,false,false,true,3,130,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_gravity_lasso.
infernus_napalm,infernus,Napalm,1,charged,false,false,true,3,25,1,6,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_incendiary_projectile.
infernus_flame_dash,infernus,Flame Dash,2,active,false,false,true,3,38,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_flame_dash.
infernus_afterburn,infernus,Afterburn,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_afterburn.
infernus_concussive_combustion,infernus,Concussive Combustion,4,active,false,false,true,3,190,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_fire_bomb.
ivy_entangling_thorns,ivy,Entangling Thorns,1,charged,false,false,true,3,32,1,5,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_tengu_urn.
ivy_kudzu_connection,ivy,Kudzu Connection,2,active,false,false,true,3,37,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_tangotether.
ivy_stone_form,ivy,Stone Form,3,active,false,false,true,3,40,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_tengu_stone_form.
ivy_air_drop,ivy,Air Drop,4,active,false,false,true,3,100,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_tengu_airlift.
ivy_innate,ivy,Innate,innate,innate,true,true,false,0,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0012"",""HSRC-0003""]",Expliziter Innate-Abschnitt der aktuellen Heldenseite; numerische HeroData-Felder werden direkt referenziert.
kelvin_frost_grenade,kelvin,Frost Grenade,1,charged,false,false,true,3,30,2,7,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_ice_grenade.
kelvin_ice_path,kelvin,Ice Path,2,active,false,false,true,3,50,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_icepath.
kelvin_arctic_beam,kelvin,Arctic Beam,3,active,false,false,true,3,28,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_icebeam.
kelvin_frozen_shelter,kelvin,Frozen Shelter,4,active,false,false,true,3,185,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_ice_dome.
lady_geist_essence_bomb,lady_geist,Essence Bomb,1,active,false,false,true,3,14,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_blood_bomb.
lady_geist_life_drain,lady_geist,Life Drain,2,active,false,false,true,3,34,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_life_drain.
lady_geist_malice,lady_geist,Malice,3,active,false,false,true,3,6,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_blood_shards.
lady_geist_soul_exchange,lady_geist,Soul Exchange,4,active,false,false,true,3,220,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_health_swap.
lash_ground_strike,lash,Ground Strike,1,active,false,false,true,3,18,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_lash_down_strike.
lash_grapple,lash,Grapple,2,charged,false,false,true,3,35,1,2,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_lash.
lash_flog,lash,Flog,3,active,false,false,true,3,26,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_lash_flog.
lash_death_slam,lash,Death Slam,4,channeled,false,false,true,3,170,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_lash_ultimate.
mcginnis_mini_turret,mcginnis,Mini Turret,1,charged,false,false,true,3,18,1,3,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_shieldedsentry.
mcginnis_medicinal_specter,mcginnis,Medicinal Specter,2,summon,false,false,true,3,50,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_mobile_resupply.
mcginnis_spectral_wall,mcginnis,Spectral Wall,3,active,false,false,true,3,50,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_fissure_wall.
mcginnis_heavy_barrage,mcginnis,Heavy Barrage,4,active,false,false,true,3,200,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_rocket_barrage.
mina_rake,mina,Rake,1,active,false,false,true,3,16,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_vampirebat_steallife.
mina_sanguine_retreat,mina,Sanguine Retreat,2,channeled,false,false,true,3,32,,,channeled,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_vampirebat_batblink.
mina_love_bites,mina,Love Bites,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_vampirebat_lovebites.
mina_nox_nostra,mina,Nox Nostra,4,channeled,false,false,true,3,150,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_vampirebat_batswarm.
mirage_fire_scarabs,mirage,Fire Scarabs,1,charged,false,false,true,3,35,2,1,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel mirage_fire_beetles.
mirage_dust_devil,mirage,Dust Devil,2,active,false,false,true,3,36,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel mirage_tornado.
mirage_djinn_s_mark,mirage,Djinn's Mark,3,active,false,false,true,3,2.75,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel mirage_sand_phantom.
mirage_traveler,mirage,Traveler,4,active,false,false,true,3,140,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel mirage_teleport.
mo_and_krill_scorn,mo_and_krill,Scorn,1,active,false,false,true,3,13,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_intimidate.
mo_and_krill_burrow,mo_and_krill,Burrow,2,channeled,false,false,true,3,40,,,channeled,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_burrow.
mo_and_krill_sand_blast,mo_and_krill,Sand Blast,3,active,false,false,true,3,40,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_throw_sand.
mo_and_krill_combo,mo_and_krill,Combo,4,channeled,false,false,true,3,150,,,channeled,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_ult_combo.
paige_bookwyrm,paige,Bookwyrm,1,charged,false,false,true,3,33,1,7,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bookworm_dragonfire.
paige_plot_armor,paige,Plot Armor,2,active,false,false,true,3,28,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bookworm_knightbarrier.
paige_captivating_read,paige,Captivating Read,3,active,false,false,true,3,30,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bookworm_aoemagic.
paige_rallying_charge,paige,Rallying Charge,4,channeled,false,false,true,3,210,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_bookworm_knightcharge.
paradox_pulse_grenade,paradox,Pulse Grenade,1,active,false,false,true,3,32,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_chrono_pulse_grenade.
paradox_time_wall,paradox,Time Wall,2,active,false,false,true,3,25,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_chrono_time_wall.
paradox_kinetic_carbine,paradox,Kinetic Carbine,3,active,false,false,true,3,28,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_chrono_kinetic_carbine.
paradox_paradoxical_swap,paradox,Paradoxical Swap,4,active,false,false,true,3,110,,,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_chrono_swap.
pocket_barrage,pocket,Barrage,1,channeled,false,false,true,3,32,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel synth_barrage.
pocket_flying_cloak,pocket,Flying Cloak,2,active,false,false,true,3,25,,,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel synth_plasma_flux.
pocket_enchanter_s_satchel,pocket,Enchanter's Satchel,3,channeled,false,false,true,3,17,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel synth_pulse.
pocket_affliction,pocket,Affliction,4,active,false,false,true,3,170,,,no_target,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel synth_affliction.
rem_pillow_toss,rem,Pillow Toss,1,charged,false,false,true,3,25,1,8,projectile,projectile,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_familiar_ability02.
rem_tag_along,rem,Tag Along,2,active,false,false,true,3,40,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_familiar_attach.
rem_lil_helpers,rem,Lil Helpers,3,passive,false,true,false,3,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_familiar_helpinghands.
rem_naptime,rem,Naptime,4,channeled,false,false,true,3,200,,,channeled,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_familiar_ability01.
rem_innate,rem,Innate,innate,innate,true,true,false,0,,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0014"",""HSRC-0003""]",Expliziter Innate-Abschnitt der aktuellen Heldenseite; numerische HeroData-Felder werden direkt referenziert.
seven_lightning_ball,seven,Lightning Ball,1,charged,false,false,true,3,26,1,6,projectile,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_lightning_ball.
seven_static_charge,seven,Static Charge,2,active,false,false,true,3,42,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_static_charge.
seven_power_surge,seven,Power Surge,3,active,false,false,true,3,50,,,unit_or_point_target,structured_target,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel ability_power_surge.
seven_storm_cloud,seven,Storm Cloud,4,channeled,false,false,true,3,205,,,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_storm_cloud.
shiv_serrated_knives,shiv,Serrated Knives,1,channeled,false,false,true,3,16,2,2,channeled,self_or_area,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0004"",""HSRC-0008""]",Strukturierter Wiki-Schlüssel citadel_ability_shiv_dagger.
