ability_id,upgrade_id,upgrade_level,ability_point_cost,effect_reference,mechanic,operation,value,unit,condition,confidence,source_ids,notes
abrams_seismic_impact,abrams_seismic_impact_t3,3,5,abrams_seismic_impact::immunity_duration,immunity_duration,unlock,6,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
abrams_seismic_impact,abrams_seismic_impact_t3,3,5,abrams_seismic_impact::impact_radius,impact_radius,add,6,meters,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t1,1,1,apollo_disengaging_sigil::bonus_fire_rate,bonus_fire_rate,unlock,25,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t1,1,1,apollo_disengaging_sigil::bonus_bullet_speed_percent,bonus_bullet_speed_percent,unlock,25,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t1,1,1,apollo_disengaging_sigil::buff_duration,buff_duration,unlock,8,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t2,2,2,apollo_disengaging_sigil::stamina_to_restore,stamina_to_restore,unlock,1,flat,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t2,2,2,apollo_disengaging_sigil::resets_air_limit,resets_air_limit,unlock,1,flat,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_disengaging_sigil,apollo_disengaging_sigil_t3,3,5,apollo_disengaging_sigil::recast_time,recast_time,unlock,4,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_riposte,apollo_riposte_t1,1,1,apollo_riposte::ability_cooldown,ability_cooldown,reduce_cooldown,-8,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_riposte,apollo_riposte_t2,2,2,apollo_riposte::melee_resist_reduction,melee_resist_reduction,subtract,-25,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_riposte,apollo_riposte_t2,2,2,apollo_riposte::stun_duration,stun_duration,add,0.4,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_riposte,apollo_riposte_t3,3,5,apollo_riposte::target_lifesteal,target_lifesteal,unlock,75,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_riposte,apollo_riposte_t3,3,5,apollo_riposte::target_lifesteal_duration,target_lifesteal_duration,unlock,13,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_flawless_advance,apollo_flawless_advance_t1,1,1,apollo_flawless_advance::heal_fixed_health,heal_fixed_health,add,35,health,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=1.3.
apollo_flawless_advance,apollo_flawless_advance_t1,1,1,apollo_flawless_advance::heal_fixed_health,heal_fixed_health_spirit_scaling,modify_scaling,1.3,multiplier,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
apollo_flawless_advance,apollo_flawless_advance_t2,2,2,apollo_flawless_advance::ability_cooldown,ability_cooldown,reduce_cooldown,-12,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_flawless_advance,apollo_flawless_advance_t2,2,2,apollo_flawless_advance::bullet_resist,bullet_resist,unlock,60,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_flawless_advance,apollo_flawless_advance_t2,2,2,apollo_flawless_advance::dash_buff_duration,dash_buff_duration,unlock,1.5,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::base_damage,base_damage,add,30,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=1.15.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::base_damage,base_damage_spirit_scaling,modify_scaling,1.15,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::max_damage_before_perfect,max_damage_before_perfect,add,45,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=1.15.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::max_damage_before_perfect,max_damage_before_perfect_spirit_scaling,modify_scaling,1.15,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::perfect_damage,perfect_damage,add,65,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=1.15.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::perfect_damage,perfect_damage_spirit_scaling,modify_scaling,1.15,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::attack_dash_range,attack_dash_range,add,3,meters,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_flawless_advance,apollo_flawless_advance_t3,3,5,apollo_flawless_advance::dash_speed,dash_speed,add,13.97,units_per_second,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_itani_lo_sahn,apollo_itani_lo_sahn_t1,1,1,apollo_itani_lo_sahn::dash_range,dash_range,add,8,meters,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_itani_lo_sahn,apollo_itani_lo_sahn_t2,2,2,apollo_itani_lo_sahn::ability_cooldown,ability_cooldown,reduce_cooldown,-35,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
apollo_itani_lo_sahn,apollo_itani_lo_sahn_t3,3,5,apollo_itani_lo_sahn::bonus_damage_percent,bonus_damage_percent,add,50,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_exploding_uppercut,bebop_exploding_uppercut_t1,1,1,bebop_exploding_uppercut::ability_cooldown,ability_cooldown,reduce_cooldown,-11,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_exploding_uppercut,bebop_exploding_uppercut_t2,2,2,bebop_exploding_uppercut::uppercut_buff_on_hit,uppercut_buff_on_hit,unlock,9,flat,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_exploding_uppercut,bebop_exploding_uppercut_t2,2,2,bebop_exploding_uppercut::buff_base_weapon_pct,buff_base_weapon_pct,unlock,30,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_exploding_uppercut,bebop_exploding_uppercut_t3,3,5,bebop_exploding_uppercut::restore_hook_cooldown,restore_hook_cooldown,unlock,1,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_exploding_uppercut,bebop_exploding_uppercut_t3,3,5,bebop_exploding_uppercut::missing_hp_heal,missing_hp_heal,unlock,18,health,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_sticky_bomb,bebop_sticky_bomb_t1,1,1,bebop_sticky_bomb::ability_cooldown,ability_cooldown,reduce_cooldown,-8,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_sticky_bomb,bebop_sticky_bomb_t2,2,2,bebop_sticky_bomb::damage,damage,add,85,damage,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_sticky_bomb,bebop_sticky_bomb_t3,3,5,bebop_sticky_bomb::movement_speed_bonus,movement_speed_bonus,unlock,5,units_per_second,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_sticky_bomb,bebop_sticky_bomb_t3,3,5,bebop_sticky_bomb::status_resistance_percent,status_resistance_percent,unlock,25,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_sticky_bomb,bebop_sticky_bomb_t3,3,5,bebop_sticky_bomb::movement_speed_bonus_duration,movement_speed_bonus_duration,unlock,6,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_grapple_arm,bebop_grapple_arm_t1,1,1,bebop_grapple_arm::bullet_amp,bullet_amp,unlock,20,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_grapple_arm,bebop_grapple_arm_t1,1,1,bebop_grapple_arm::bullet_amp_duration,bullet_amp_duration,unlock,6,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_grapple_arm,bebop_grapple_arm_t2,2,2,bebop_grapple_arm::ability_cast_range,ability_cast_range,add,30,meters,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_grapple_arm,bebop_grapple_arm_t3,3,5,bebop_grapple_arm::ability_cooldown,ability_cooldown,reduce_cooldown,-11.5,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_hyper_beam,bebop_hyper_beam_t1,1,1,bebop_hyper_beam::ability_cooldown,ability_cooldown,reduce_cooldown,-20,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_hyper_beam,bebop_hyper_beam_t2,2,2,bebop_hyper_beam::dps,dps,add,108,damage_per_second,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_hyper_beam,bebop_hyper_beam_t3,3,5,bebop_hyper_beam::beam_lifesteal,beam_lifesteal,unlock,65,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
bebop_hyper_beam,bebop_hyper_beam_t3,3,5,bebop_hyper_beam::beam_lifesteal_non_hero_percent,beam_lifesteal_non_hero_percent,unlock,20,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t1,1,1,billy_bashdown::ability_cooldown,ability_cooldown,reduce_cooldown,-10,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t2,2,2,billy_bashdown::ability_cast_range,ability_cast_range,add,2,meters,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t2,2,2,billy_bashdown::ability_charges,ability_charges,add_charge,1,charges,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::counts_as_light_melee,counts_as_light_melee,subtract,-1,count,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::counts_as_heavy_melee,counts_as_heavy_melee,unlock,1,count,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::heavy_melee_damage,heavy_melee_damage,add,0,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=heavy_melee; coefficient=0.5.
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::heavy_melee_damage,heavy_melee_damage_heavy_melee_scaling,modify_scaling,0.5,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=heavy_melee.
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::melee_damage,melee_damage,add,0,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=melee; coefficient=0.
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::melee_damage,melee_damage_melee_scaling,modify_scaling,0,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=melee.
billy_bashdown,billy_bashdown_t3,3,5,billy_bashdown::ability_cooldown_between_charge,ability_cooldown_between_charge,reduce_cooldown,-3,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t1,1,1,billy_rising_ram::weapon_damage_burst,weapon_damage_burst,unlock,25,damage,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t1,1,1,billy_rising_ram::weapon_damage_burst_duration,weapon_damage_burst_duration,unlock,5,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t2,2,2,billy_rising_ram::ability_duration,ability_duration,add,0.4,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t3,3,5,billy_rising_ram::max_health_buff_pct,max_health_buff_pct,unlock,10,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t3,3,5,billy_rising_ram::max_health_buff_duration,max_health_buff_duration,unlock,16,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_rising_ram,billy_rising_ram_t3,3,5,billy_rising_ram::ability_cooldown,ability_cooldown,reduce_cooldown,-13,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_blasted,billy_blasted_t1,1,1,billy_blasted::bonus_move_speed,bonus_move_speed,unlock,2.25,units_per_second,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_blasted,billy_blasted_t2,2,2,billy_blasted::gain_slam_on_use,gain_slam_on_use,unlock,1,flat,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_blasted,billy_blasted_t2,2,2,billy_blasted::bullet_damage_amp,bullet_damage_amp,add,7,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_blasted,billy_blasted_t3,3,5,billy_blasted::max_health_melee,max_health_melee,add,50,health,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=0.6.
billy_blasted,billy_blasted_t3,3,5,billy_blasted::max_health_melee,max_health_melee_spirit_scaling,modify_scaling,0.6,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
billy_chain_gang,billy_chain_gang_t1,1,1,billy_chain_gang::bullet_resist,bullet_resist,unlock,40,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_chain_gang,billy_chain_gang_t1,1,1,billy_chain_gang::tech_resist,tech_resist,unlock,40,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_chain_gang,billy_chain_gang_t2,2,2,billy_chain_gang::ability_cooldown,ability_cooldown,reduce_cooldown,-40,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_chain_gang,billy_chain_gang_t3,3,5,billy_chain_gang::unstoppable_per_hero,unstoppable_per_hero,unlock,1.3,flat,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
billy_chain_gang,billy_chain_gang_t3,3,5,billy_chain_gang::ability_cast_range,ability_cast_range,add,5,meters,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_gloom_bombs,calico_gloom_bombs_t1,1,1,calico_gloom_bombs::ability_cooldown,ability_cooldown,reduce_cooldown,-3,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_gloom_bombs,calico_gloom_bombs_t2,2,2,calico_gloom_bombs::melee_resist_reduction,melee_resist_reduction,unlock,-6,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_gloom_bombs,calico_gloom_bombs_t2,2,2,calico_gloom_bombs::melee_resist_reduction_duration,melee_resist_reduction_duration,unlock,6,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_gloom_bombs,calico_gloom_bombs_t3,3,5,calico_gloom_bombs::grenade_count,grenade_count,add,3,count,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_leaping_slash,calico_leaping_slash_t1,1,1,calico_leaping_slash::heal_amount,heal_amount,add,25,health,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_leaping_slash,calico_leaping_slash_t2,2,2,calico_leaping_slash::bonus_gold_on_kill,bonus_gold_on_kill,unlock,200,flat,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_leaping_slash,calico_leaping_slash_t2,2,2,calico_leaping_slash::bounty_duration,bounty_duration,unlock,3,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_leaping_slash,calico_leaping_slash_t3,3,5,calico_leaping_slash::cooldown_refund_percent,cooldown_refund_percent,unlock,50,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_leaping_slash,calico_leaping_slash_t3,3,5,calico_leaping_slash::impact_damage,impact_damage,add,60,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t1,1,1,calico_ava::buff_duration,buff_duration,add,15,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t2,2,2,calico_ava::max_bonus_move_speed_percent,max_bonus_move_speed_percent,add,40,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t2,2,2,calico_ava::health_regen,health_regen,unlock,15,health,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t3,3,5,calico_ava::outgoing_damage_percent,outgoing_damage_percent,unlock,18,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t3,3,5,calico_ava::damage_amp_duration,damage_amp_duration,unlock,6,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_ava,calico_ava_t3,3,5,calico_ava::damage_amp_build_duration,damage_amp_build_duration,unlock,10,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_return_to_shadows,calico_return_to_shadows_t1,1,1,calico_return_to_shadows::ability_cooldown,ability_cooldown,reduce_cooldown,-20,seconds,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_return_to_shadows,calico_return_to_shadows_t2,2,2,calico_return_to_shadows::damage,damage,add,75,damage,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_return_to_shadows,calico_return_to_shadows_t2,2,2,calico_return_to_shadows::bonus_move_speed_percent,bonus_move_speed_percent,add,20,percent,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_return_to_shadows,calico_return_to_shadows_t3,3,5,calico_return_to_shadows::refund_cooldowns,refund_cooldowns,unlock,1,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
calico_return_to_shadows,calico_return_to_shadows_t3,3,5,calico_return_to_shadows::heal_amount,heal_amount,unlock,450,health,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_light_eater,celeste_light_eater_t1,1,1,celeste_light_eater::ability_lifesteal_percent_hero,ability_lifesteal_percent_hero,add,15,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_light_eater,celeste_light_eater_t2,2,2,celeste_light_eater::ability_cast_range,ability_cast_range,add,3,meters,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_light_eater,celeste_light_eater_t2,2,2,celeste_light_eater::ability_cooldown,ability_cooldown,reduce_cooldown,-10,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_light_eater,celeste_light_eater_t3,3,5,celeste_light_eater::damage,damage,add,25,damage,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=0.2.
celeste_light_eater,celeste_light_eater_t3,3,5,celeste_light_eater::damage,damage_spirit_scaling,modify_scaling,0.2,multiplier,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
celeste_dazzling_trick,celeste_dazzling_trick_t1,1,1,celeste_dazzling_trick::bonus_move_speed,bonus_move_speed,unlock,3.5,units_per_second,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_dazzling_trick,celeste_dazzling_trick_t2,2,2,celeste_dazzling_trick::combat_barrier,combat_barrier,add,70,health,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=0.76.
celeste_dazzling_trick,celeste_dazzling_trick_t2,2,2,celeste_dazzling_trick::combat_barrier,combat_barrier_spirit_scaling,modify_scaling,0.76,multiplier,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
celeste_dazzling_trick,celeste_dazzling_trick_t3,3,5,celeste_dazzling_trick::debuff_duration,debuff_duration,add,1.25,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_dazzling_trick,celeste_dazzling_trick_t3,3,5,celeste_dazzling_trick::ability_cooldown,ability_cooldown,reduce_cooldown,-20,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_radiant_daggers,celeste_radiant_daggers_t1,1,1,celeste_radiant_daggers::ability_charges,ability_charges,add_charge,2,charges,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_radiant_daggers,celeste_radiant_daggers_t2,2,2,celeste_radiant_daggers::impact_damage,impact_damage,add,80,damage,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_radiant_daggers,celeste_radiant_daggers_t2,2,2,celeste_radiant_daggers::ability_cooldown,ability_cooldown,reduce_cooldown,-22,seconds,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_radiant_daggers,celeste_radiant_daggers_t3,3,5,celeste_radiant_daggers::magic_increase_per_stack,magic_increase_per_stack,add,4,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_radiant_daggers,celeste_radiant_daggers_t3,3,5,celeste_radiant_daggers::fire_rate_per_stack,fire_rate_per_stack,unlock,9,percent,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_shining_wonder,celeste_shining_wonder_t1,1,1,celeste_shining_wonder::ground_dash_reduction_percent,ground_dash_reduction_percent,subtract,-15,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_shining_wonder,celeste_shining_wonder_t1,1,1,celeste_shining_wonder::slow_percent,slow_percent,add,20,percent,tier 1 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_shining_wonder,celeste_shining_wonder_t2,2,2,celeste_shining_wonder::damage,damage,add,90,damage,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Structured scaling attribute=spirit; coefficient=0.45.
celeste_shining_wonder,celeste_shining_wonder_t2,2,2,celeste_shining_wonder::damage,damage_spirit_scaling,modify_scaling,0.45,multiplier,tier 2 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",Atomar vom Basiswert getrennte Skalierungsänderung; structured attribute=spirit.
celeste_shining_wonder,celeste_shining_wonder_t3,3,5,celeste_shining_wonder::max_bounces,max_bounces,add,8,count,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
celeste_shining_wonder,celeste_shining_wonder_t3,3,5,celeste_shining_wonder::ability_cooldown,ability_cooldown,reduce_cooldown,-30,seconds,tier 3 purchased,high,"[""HSRC-0004"",""HSRC-0008""]",
