hero_id,name,display_name,availability,publicly_playable,release_status,verified_patch,verified_date,confidence,source_ids,notes
swan,Swan,Swan,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_swan; Rohflags {""IsSelectable"":true,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}. Technisches IsSelectable-Flag wird wegen der öffentlichen 38-Helden-Liste nicht als Veröffentlichungsnachweis gewertet; siehe HUNC-0006."
targetdummy,TargetDummy,TargetDummy,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_targetdummy; Rohflags {""IsSelectable"":false,""IsDisabled"":false,""InDevelopment"":true,""InHeroLabs"":false}."
the_boss,The Boss,The Boss,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_yakuza; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
the_doorman,The Doorman,The Doorman,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_doorman; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
thumper,Thumper,Thumper,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_thumper; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
tokamak,Tokamak,Tokamak,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_tokamak; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
trapper,Trapper,Trapper,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_trapper; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
vandal,Vandal,Vandal,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_vandal; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
venator,Venator,Venator,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_priest; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
victor,Victor,Victor,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_frank; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
vindicta,Vindicta,Vindicta,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_hornet; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
viscous,Viscous,Viscous,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_viscous; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
vyper,Vyper,Vyper,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_viper; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
warden,Warden,Warden,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_warden; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
wraith,Wraith,Wraith,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_wraith; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
wrecker,Wrecker,Wrecker,internal_or_unused,false,nonpublic_documented,Minor Update - 08-22-2026,2026-09-02,medium,"[""HSRC-0003""]","Wiki-Datenschlüssel hero_wrecker; Rohflags {""IsSelectable"":false,""IsDisabled"":true,""InDevelopment"":true,""InHeroLabs"":false}."
yamato,Yamato,Yamato,public_standard,true,released_closed_beta,Minor Update - 08-22-2026,2026-09-02,high,"[""HSRC-0007"",""HSRC-0003""]","Wiki-Datenschlüssel hero_yamato; Rohflags {""IsSelectable"":true,""IsDisabled"":false,""InDevelopment"":false,""InHeroLabs"":false}."
